iPSC_cond1_rep1	iPSC_cond1_rep2	iPSC_cond2_rep1	iPSC_cond2_rep2
ENSG00000125895.5:008	0	0	0	0
ENSG00000125895.5:007	0	0	0	0
ENSG00000125895.5:006	66.0356472795497	33.4492753623188	18.8152173913043	14.3354037267081
ENSG00000125895.5:005	0	0	0	0
ENSG00000125895.5:004	0	0	0	0
ENSG00000125895.5:003	0	0	0	0
ENSG00000125895.5:002	0	0	0	0
ENSG00000125895.5:001	54.6688555347092	34.4945652173913	15.679347826087	12.5434782608696
ENSG00000124134.8:007	16.2382739212008	32.4039855072464	7.83967391304348	1.79192546583851
ENSG00000124134.8:006	9.74296435272045	15.679347826087	1.5679347826087	0
ENSG00000124134.8:005	13.531894934334	15.679347826087	4.70380434782609	5.37577639751553
ENSG00000124134.8:004	1.62382739212007	5.22644927536232	1.5679347826087	0
ENSG00000124134.8:003	2.16510318949343	4.18115942028985	0	0
ENSG00000124134.8:002	1.08255159474672	2.09057971014493	0	0
ENSG00000124134.8:001	1.08255159474672	1.04528985507246	0	0
ENSG00000124208.16:008	25.9812382739212	34.4945652173913	89.3722826086957	53.7577639751553
ENSG00000124208.16:007	56.2926829268293	68.9891304347826	12.5434782608696	12.5434782608696
ENSG00000124208.16:003	12.9906191369606	13.588768115942	45.4701086956522	73.4689440993789
ENSG00000124208.16:001	27.0637898686679	27.1775362318841	90.9402173913044	114.683229813665
