EnsG	Exon_bin	Gene_name	Cluster	log2FC	log2Var	pval	FDR	Chr	Strand	Start	End	iPSC_cond1_rep1	iPSC_cond1_rep2	iPSC_cond2_rep1	iPSC_cond2_rep2
ENSG00000124134.8:001	ENSG00000124134.8	001	KCNS1	1	-1.04532877623656	0.000339221137523673	0.206579827660928	0.206579827660928	chr20	-	45100967	45101112	1.08255159474672	1.04528985507246	0	0
ENSG00000124134.8:002	ENSG00000124134.8	002	KCNS1	1	-1.34311485650921	0.16217949725564	0.206579827660928	0.206579827660928	chr20	-	45100921	45100966	1.08255159474672	2.09057971014493	0	0
ENSG00000124134.8:003	ENSG00000124134.8	003	KCNS1	2	-2.01776375520798	0.252776454636149	0.206579827660928	0.206579827660928	chr20	-	45100160	45100361	2.16510318949343	4.18115942028985	0	0
ENSG00000124134.8:004	ENSG00000124134.8	004	KCNS1	1	-1.33473696612986	1.7028042347995	0.206579827660928	0.206579827660928	chr20	-	45099161	45099239	1.62382739212007	5.22644927536232	1.5679347826087	0
ENSG00000124134.8:005	ENSG00000124134.8	005	KCNS1	1	-1.3683081901399	0.0326771556701685	0.206579827660928	0.206579827660928	chr20	-	45097662	45098695	13.531894934334	15.679347826087	4.70380434782609	5.37577639751553
ENSG00000124134.8:006	ENSG00000124134.8	006	KCNS1	1	-3.06235132179911	1.1270313064073	0.206579827660928	0.206579827660928	chr20	-	45094365	45095340	9.74296435272045	15.679347826087	1.5679347826087	0
ENSG00000124134.8:007	ENSG00000124134.8	007	KCNS1	2	-2.27211908969684	1.83778443121461	0.206579827660928	0.206579827660928	chr20	-	45092310	45094364	16.2382739212008	32.4039855072464	7.83967391304348	1.79192546583851
ENSG00000124208.16:001	ENSG00000124208.16	001	TMEM189-UBE2V1	1	1.87477429358257	0.0549339028247946	NA	NA	chr20	-	50153517	50153637	27.0637898686679	27.1775362318841	90.9402173913044	114.683229813665
ENSG00000124208.16:003	ENSG00000124208.16	003	TMEM189-UBE2V1	1	2.041812023033	0.233252431104618	NA	NA	chr20	-	50130856	50130947	12.9906191369606	13.588768115942	45.4701086956522	73.4689440993789
ENSG00000124208.16:007	ENSG00000124208.16	007	TMEM189-UBE2V1	1	-2.22514258902064	0.0416969399223126	NA	NA	chr20	-	50084129	50084254	56.2926829268293	68.9891304347826	12.5434782608696	12.5434782608696
ENSG00000124208.16:008	ENSG00000124208.16	008	TMEM189-UBE2V1	1	1.18469459771921	0.339498213081515	NA	NA	chr20	-	50081124	50082914	25.9812382739212	34.4945652173913	89.3722826086957	53.7577639751553
ENSG00000125895.5:001	ENSG00000125895.5	001	TMEM74B	1	-1.5644036921502	0.255916729217513	0.001	0.002	chr20	-	1185138	1185415	54.6688555347092	34.4945652173913	15.679347826087	12.5434782608696
ENSG00000125895.5:002	ENSG00000125895.5	002	TMEM74B	NA	0	0	0.001	0.002	chr20	-	1184473	1184675	0	0	0	0
ENSG00000125895.5:003	ENSG00000125895.5	003	TMEM74B	NA	0	0	0.001	0.002	chr20	-	1184302	1184472	0	0	0	0
ENSG00000125895.5:004	ENSG00000125895.5	004	TMEM74B	NA	0	0	0.001	0.002	chr20	-	1183948	1184301	0	0	0	0
ENSG00000125895.5:005	ENSG00000125895.5	005	TMEM74B	NA	0	0	0.001	0.002	chr20	-	1183771	1183947	0	0	0	0
ENSG00000125895.5:006	ENSG00000125895.5	006	TMEM74B	2	-1.46296358443372	0.52959156189499	0.001	0.002	chr20	-	1181284	1181587	66.0356472795497	33.4492753623188	18.8152173913043	14.3354037267081
ENSG00000125895.5:007	ENSG00000125895.5	007	TMEM74B	NA	0	0	0.001	0.002	chr20	-	1181157	1181283	0	0	0	0
ENSG00000125895.5:008	ENSG00000125895.5	008	TMEM74B	NA	0	0	0.001	0.002	chr20	-	1180561	1181156	0	0	0	0
